"","mean","sd","2.5%","97.5%"
"q_mu",0.305436778691926,0.0820997448774203,0.13411600147973,0.46542779607776
"T0_mu",13.1285740430009,0.932334838889529,11.0212147689436,14.7564320460649
"Tm_mu",34.3673578100756,1.28342013107118,31.9326934338232,37.1955329885426
