Species,x,y
B.truncatus,31.018806,-17.246639
B.truncatus,34.831114,32.229039
B.truncatus,9.250807,36.994762
B.truncatus,30.78229,29.27284
B.truncatus,-14.959617,13.543967
B.truncatus,-14.1601,13.30309
B.truncatus,-13.94445,13.33295
B.truncatus,-14.8543,13.517733
B.truncatus,48.24439,32.19279
B.truncatus,48.33711,32.45344
B.truncatus,48.39426,32.38445
B.truncatus,48.67202,31.32691
B.truncatus,48.84596,32.05347
B.truncatus,-7.31638,31.89278
B.truncatus,-7.26216,31.78627
B.truncatus,14.99794,12.12118
B.truncatus,15.05261,12.15583
B.truncatus,42.50537,18.21781
B.truncatus,42.60375,20.04211
B.truncatus,9.257567,4.466916
B.truncatus,9.294252,41.7386
B.truncatus,9.369415,41.86083
B.truncatus,9.398195,41.751089
B.truncatus,31.477033,-16.94995
B.truncatus,31.490367,-16.8604
B.truncatus,28.8782,-2.15278
B.truncatus,29.65709,-4.85216
B.truncatus,31.37842,1.84253
B.truncatus,31.40769,1.90672
B.truncatus,-14.955749,16.653148
B.truncatus,-14.922772,16.598236
B.truncatus,-14.754717,16.545725
B.truncatus,31.331674,-20.831443
B.truncatus,1.82437,13.66367
B.truncatus,1.87246,13.61844
B.truncatus,2.36142,13.1925
B.truncatus,-16.319,16.399
B.truncatus,-16.282,16.2
B.truncatus,-15.883,16.188
B.truncatus,14.703,-5.51
B.truncatus,25.157,-8.085
B.truncatus,27.459,-11.651
B.truncatus,27.508,-11.71
B.truncatus,29.029,-1.26
B.truncatus,13.33,13.68
B.truncatus,30.33,-2.1
B.truncatus,13.71956,9.10014
B.truncatus,-5.081314,7.731161
B.truncatus,-4.890617,7.773567
B.truncatus,-3.17215,9.478644
B.truncatus,1.09041,14.46127
B.truncatus,3.11667,7.15
B.truncatus,4.66667,8.08333
B.truncatus,4.96667,8.25
B.truncatus,9.67537,40.84843
B.truncatus,9.73489,4.72695
B.truncatus,10.00785,5.15064
B.truncatus,13.68111,4.58889
B.truncatus,13.81083,10.73449
B.truncatus,30.04731,-0.28745
B.truncatus,30.31509,-1.28652
B.truncatus,30.49039,-1.85912
B.truncatus,31.07694,30.14139
B.truncatus,31.08355,1.58629
B.truncatus,32.09664,1.69249
B.truncatus,32.16611,26.17306
B.truncatus,33.60149,0.13707
B.truncatus,-0.82783,12.30647
B.truncatus,-9.64648,29.99918
B.truncatus,-9.48305,29.83584
B.truncatus,-9.17695,29.77679
B.truncatus,30.81118,30.82373
B.truncatus,32.70922,26.14956
B.truncatus,10.066944,5.445278
B.truncatus,13.589444,7.316389
B.truncatus,30.343333,30.848611
B.truncatus,30.703889,30.557778
B.truncatus,31.006944,30.785278
B.truncatus,31.033889,30.092222
B.truncatus,31.122778,30.100278
B.truncatus,31.169167,30.160833
B.truncatus,31.2225,30.070556
B.truncatus,32.240556,26.048611
