"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
55,"target_group","1826359702",NA,"Niger","Kollo; Tiaguirire. Tiaguirire",13.27167,2.33836,"gbif","2011","unknown"
56,"target_group","1826359712",NA,"Niger","Tillaberi; Diambala. Diambala",14.31036,1.29175,"gbif","2011","unknown"
57,"target_group","1826359738",NA,"Niger","Dokimana. Dokimana",13.03523,2.3432,"gbif","2011","unknown"
58,"target_group","1826359745",NA,"Niger","Tillaberi; Namari Goungou. Namari Goungou",14.34492,1.25329,"gbif","2012","unknown"
59,"target_group","1826359773",NA,"Niger","Say; Koutoukale|Nearest Named Place: Koutoukaley Zeno",13.66634,1.74466,"gbif","2011","unknown"
60,"target_group","1826359801",NA,"Niger","Say; Koutoukale|Nearest Named Place: Koutoukaley Zeno",13.63161,1.74466,"gbif","2012","unknown"
61,"target_group","1826359822",NA,"Niger","Bangou Koirey. Bangou Koirey",13.60331,1.90767,"gbif","2011","unknown"
62,"target_group","1826359824",NA,"Niger","Doguel Kaina. Doguel Kaina",13.28718,2.32726,"gbif","2011","unknown"
63,"target_group","1826359828",NA,"Niger","Seberi. Seberi",13.31099,2.32554,"gbif","2012","unknown"
64,"target_group","1826359842",NA,"Niger","Tagabati. Tagabati",13.63102,1.87492,"gbif","2012","unknown"
65,"target_group","1826359847",NA,"Niger","Tillaberi; Diambala. Diambala",14.31046,1.29175,"gbif","2012","unknown"
66,"target_group","1826359877",NA,"Niger","Karma. Karma",13.66431,1.82411,"gbif","2012","unknown"
67,"target_group","1826359887",NA,"Niger","Tillaberi; Diambala. Diambala",14.30989,1.29365,"gbif","2012","unknown"
68,"target_group","1826359895",NA,"Niger","Kollo; Tokeye. Tokeye",13.19668,2.35522,"gbif","2012","unknown"
69,"target_group","1826359927",NA,"Niger","Seberi. Seberi",13.3038,2.33241,"gbif","2012","unknown"
70,"target_group","1826359958",NA,"Niger","Kollo; Youri. Youri",13.33371,2.24556,"gbif","2012","unknown"
71,"target_group","1826360066",NA,"Niger","Zama Koira Tegui. Zama Koira Tegui",13.70169,1.71942,"gbif","2012","unknown"
72,"target_group","1826360226",NA,"Niger","Yoreize Koira. Yoreize Koira",13.61344,1.87289,"gbif","2012","unknown"
73,"target_group","1826360261",NA,"Niger","Yoreize Koira. Yoreize Koira",13.61848,1.87245,"gbif","2012","unknown"
74,"target_group","1826360283",NA,"Niger","Say; Koutoukale|Nearest Named Place: Koutoukaley Zeno",13.68637,1.7452,"gbif","2012","unknown"
75,"target_group","1826360284",NA,"Niger","Tagabati. Tagabati",13.63109,1.87452,"gbif","2013","unknown"
76,"target_group","1826360383",NA,"Niger","Kollo; Tiaguirire. Tiaguirire",13.27166,2.33829,"gbif","2012","unknown"
77,"target_group","1826360393",NA,"Niger","Say. Say",13.10468,2.35263,"gbif","2012","unknown"
78,"target_group","1826360442",NA,"Niger","Lata. Lata",13.7425,1.68173,"gbif","2013","unknown"
79,"target_group","1826360447",NA,"Niger","Say; Koutoukale|Nearest Named Place: Koutoukaley Zeno",13.6916,1.74321,"gbif","2013","unknown"
